Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Speed,SteeringAngle,Acceleration,PathDeviation,Phase,CheckpointID
0.003,47.000,0.500,-33.480,0.001,0.000,0.175,0.175,1.861,0.000,0.000,startup,-1
0.013,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.023,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.033,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.043,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.053,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.063,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.073,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.083,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.093,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.103,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,0.000,0.001,0.000,driving,-1
0.103,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.113,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.123,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.133,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.143,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.153,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
0.163,47.000,0.500,-33.480,0.000,-0.098,0.000,0.098,12.354,0.000,0.000,startup,-1
